Iteration #,Relative Residual
1334,0.00223728
1335,0.00222644
1336,0.00221245
1337,0.00219345
1338,0.0021862
1339,0.00218298
1340,0.00218256
1341,0.00218214
1342,0.00218154
1343,0.00218047
1344,0.00216725
1345,0.00215214
1346,0.00214707
1347,0.00214547
1348,0.00214176
1349,0.00213869
1350,0.00213081
1351,0.00212741
1352,0.00212605
1353,0.00212604
1354,0.00212604
1355,0.00212592
1356,0.00212553
1357,0.00212534
1358,0.00212518
1359,0.00212373
1360,0.00212235
1361,0.0021177
1362,0.00210603
1363,0.00210033
1364,0.00209668
1365,0.00209187
1366,0.00208458
1367,0.00207862
1368,0.00206471
1369,0.00205598
1370,0.00205373
1371,0.00205277
1372,0.00205255
1373,0.0020522
1374,0.00204169
1375,0.00203292
1376,0.0020311
1377,0.00202603
1378,0.00202427
1379,0.00201371
1380,0.00200396
1381,0.00200242
1382,0.00199746
1383,0.00199693
1384,0.0019969
1385,0.00199688
1386,0.00199464
1387,0.00199376
1388,0.00198947
1389,0.00198833
1390,0.00198769
1391,0.00198502
1392,0.00198308
1393,0.00197231
1394,0.0019666
1395,0.00195405
1396,0.00194359
1397,0.00193291
1398,0.00192815
1399,0.00192426
1400,0.00192232
1401,0.0019215
1402,0.00192012
1403,0.00191873
1404,0.00191025
1405,0.00189773
1406,0.00189292
1407,0.00189075
1408,0.00188819
1409,0.00188526
1410,0.00187017
1411,0.00186239
1412,0.00185989
1413,0.00185985
1414,0.00185984
1415,0.0018598
1416,0.00185977
1417,0.00185922
1418,0.00185899
1419,0.00185721
1420,0.00185477
1421,0.00185261
1422,0.00185027
1423,0.00184464
1424,0.00183111
1425,0.00182647
1426,0.00181907
1427,0.00181577
1428,0.00181066
1429,0.00180145
1430,0.00179694
1431,0.00179328
1432,0.00179252
1433,0.00179241
1434,0.00179203
1435,0.00179036
1436,0.00178566
1437,0.00177527
1438,0.00177249
1439,0.00176511
1440,0.00175638
1441,0.00175502
1442,0.00175223
1443,0.00175221
1444,0.00175216
1445,0.00175199
1446,0.00174934
1447,0.00174865
1448,0.0017451
1449,0.00174333
1450,0.00174195
1451,0.00173739
1452,0.00173278
1453,0.00172909
1454,0.00172649
1455,0.00172178
1456,0.00171668
1457,0.00171188
1458,0.00170349
1459,0.00169753
1460,0.00169449
1461,0.00169336
1462,0.00169227
1463,0.00169059
1464,0.00168539
1465,0.00167127
1466,0.00166639
1467,0.00166352
1468,0.00166133
1469,0.00165728
1470,0.00165292
1471,0.00165208
1472,0.0016507
1473,0.00165068
1474,0.00165067
1475,0.00165062
1476,0.00165024
1477,0.00164976
1478,0.0016486
1479,0.00164819
1480,0.00164627
1481,0.00164397
1482,0.00163962
1483,0.00162998
1484,0.00162076
1485,0.00161625
1486,0.00161243
1487,0.00161054
1488,0.00160728
1489,0.00159676
1490,0.00159396
1491,0.00159042
1492,0.00158942
1493,0.00158936
1494,0.00158918
1495,0.00158832
1496,0.00158275
1497,0.00157513
1498,0.00157215
1499,0.00156742
1500,0.00155881
1501,0.00155727
1502,0.00155382
1503,0.00155363
1504,0.00155345
1505,0.00155345
1506,0.00155254
1507,0.00155147
1508,0.00154712
1509,0.00154557
1510,0.00154407
1511,0.0015393
1512,0.00153576
1513,0.00153224
1514,0.00152976
1515,0.00152692
1516,0.00152298
1517,0.00151794
1518,0.00151099
1519,0.00150671
1520,0.0015052
1521,0.0015034
1522,0.00150197
1523,0.00149994
1524,0.00149032
1525,0.00148262
1526,0.00147422
1527,0.0014714
1528,0.00147028
1529,0.00146739
1530,0.00145642
1531,0.00145333
1532,0.00144998
1533,0.00144981
1534,0.00144959
1535,0.00144936
1536,0.00144906
1537,0.0014487
1538,0.00144703
1539,0.00144653
1540,0.00144464
1541,0.00144099
1542,0.00143617
1543,0.00142696
1544,0.00142101
1545,0.00141599
1546,0.00141467
1547,0.00141303
1548,0.00140959
1549,0.00139954
1550,0.00139518
1551,0.00139132
1552,0.00139122
1553,0.00139121
1554,0.00139102
1555,0.00139091
1556,0.00138884
